"","day","mo","temp","visib","wdsp","NUM_COLLISIONS"
"334",4,5,60.9,6.1,11.6,0.850746268656716
"670",4,5,50.3,3.2,13.3,0.75
"684",4,5,57.8,10,9.6,0.777439024390244
"698",4,5,52,10,11.2,0.789634146341463
"1055",4,5,54.8,10,7.7,0.566489361702128
"1062",4,5,62.4,9.2,11.7,0.74468085106383
"1405",4,5,45.5,5.9,21.5,0.530054644808743
"1419",4,5,53.9,10,6.7,0.715846994535519
"1426",4,5,65.7,9.7,7.7,0.846994535519126
"1769",4,5,51.5,10,10.6,0.629820051413882
"1776",4,5,49.5,10,7.6,0.591259640102828
"1790",4,5,53.8,5.6,11.6,0.735218508997429
"2140",4,5,51,6.2,12.2,0.552631578947368
"2504",4,5,47.7,10,7.6,0.503937007874016
"348",4,6,60.8,10,8.7,0.402985074626866
"705",4,6,60,5.8,7.1,0.503048780487805
"712",4,6,61,10,13.4,0.484756097560976
"726",4,6,66.7,3.5,10.2,0.810975609756098
"1069",4,6,52.2,10,7.9,0.398936170212766
"1076",4,6,64.6,9.1,11.8,0.702127659574468
"1433",4,6,55.7,6.8,9.3,0.685792349726776
"1440",4,6,59.9,10,16.7,0.693989071038251
"1447",4,6,65.2,10,6.6,0.702185792349727
"2189",4,6,64.1,6.3,14.6,0.747368421052632
"2532",4,6,62,5.2,12.5,0.900262467191601
"2539",4,6,56.7,6.2,12.4,0.611548556430446
"26",4,7,78,8.9,4.3,0.638095238095238
"376",4,7,71.8,4.9,9.5,0.447761194029851
"390",4,7,67.7,9.7,13.8,0.319402985074627
"740",4,7,69.4,5.4,6.1,0.548780487804878
"754",4,7,69.6,6.4,8.5,0.411585365853659
"1104",4,7,69.1,8.5,9.8,0.438829787234043
"1111",4,7,67.3,9.2,16.6,0.75531914893617
"1475",4,7,69.1,9.3,10.9,0.844262295081967
"2217",4,7,69.8,4.7,13.9,0.402631578947368
"411",4,8,67.2,10,10.2,0.594029850746269
"425",4,8,65.7,5.8,11.3,0.513432835820895
"768",4,8,69.3,9.2,6.3,0.551829268292683
"775",4,8,67.8,9.1,9.7,0.673780487804878
"789",4,8,71,6.8,8.8,0.652439024390244
"1146",4,8,73.4,6.4,9.7,0.526595744680851
"1888",4,8,66.2,9.6,9.7,0.416452442159383
"2224",4,8,73.7,5.4,11.6,0.707894736842105
"2238",4,8,77.2,9.1,10.1,0.510526315789474
"2245",4,8,70,9.7,9.3,0.413157894736842
"2595",4,8,73.3,9.4,11.5,0.643044619422572
"2602",4,8,68.6,8.6,8.5,0.417322834645669
"82",4,9,61,10,4.6,0.377777777777778
"432",4,9,67.4,10,10.4,0.277611940298507
"439",4,9,70.2,5.3,11.4,0.880597014925373
"446",4,9,62.4,10,9.6,0.405970149253731
"453",4,9,56.8,10,8,0.346268656716418
"810",4,9,61.1,10,5,0.75
"817",4,9,59.7,8.6,8.9,0.265243902439024
"1538",4,9,64.5,10,14.4,0.887978142076503
"1552",4,9,60,9.3,17.8,0.524590163934426
"1895",4,9,67.1,7.9,13,0.858611825192802
"1909",4,9,63.9,3.4,29.6,0.203084832904884
"1916",4,9,69.4,4.9,9.3,0.730077120822622
"2273",4,9,63.7,9.1,11.3,0.542105263157895
"2280",4,9,66.3,8.5,13.2,0.576315789473684
"2630",4,9,65.4,6.2,11.2,0.755905511811024
"2637",4,9,57.3,10,11.4,0.535433070866142
"103",4,10,53.4,10,5.5,0.806349206349206
"467",4,10,58.4,10,11.6,0.474626865671642
"481",4,10,48.4,9.9,10.8,0.692537313432836
"824",4,10,59.9,9.4,17.6,0.469512195121951
"831",4,10,60.8,9.7,12.6,0.289634146341463
"838",4,10,65,6.6,12,0.603658536585366
"845",4,10,59.5,8.7,10.7,0.716463414634146
"852",4,10,56.1,9.4,8.9,0.676829268292683
"1188",4,10,59.7,8.1,21.4,0.747340425531915
"1195",4,10,59.8,10,8.2,0.702127659574468
"1209",4,10,60.5,8.8,9.7,0.702127659574468
"1573",4,10,60.4,9.1,10.5,0.628415300546448
"1923",4,10,63.7,8.4,15.8,0.516709511568123
"1930",4,10,57.1,10,14.5,0.377892030848329
"1944",4,10,60.1,7.8,11.3,0.519280205655527
"2294",4,10,67.2,4.1,8.9,0.757894736842105
"2301",4,10,45.6,10,16.3,0.742105263157895
"2308",4,10,45.3,10,14.2,0.815789473684211
"2651",4,10,55.3,10,12.5,0.758530183727034
"2658",4,10,54.5,4.9,28.8,0.561679790026247
"2665",4,10,58.2,9.9,28,0.543307086614173
"2679",4,10,62.5,5.4,13.1,0.564304461942257
"131",4,11,41.2,5.1,15.2,0.466666666666667
"138",4,11,40.4,10,5.3,0.698412698412698
"152",4,11,37.5,9.7,5.8,0.355555555555556
"495",4,11,57.8,7.1,11.4,0.734328358208955
"502",4,11,42.8,10,14.2,0.656716417910448
"859",4,11,53.6,9.4,5.6,0.75609756097561
"873",4,11,45.7,9.8,16.1,0.704268292682927
"1230",4,11,52.5,7.3,11.5,0.625
"1587",4,11,58.8,5.1,8.4,0.702185792349727
"1594",4,11,49.4,10,10.9,0.748633879781421
"1601",4,11,48.6,9.6,8.4,0.751366120218579
"1958",4,11,48.3,10,8.7,0.632390745501285
"1965",4,11,46.6,8.9,10.1,0.912596401028278
"1979",4,11,43.2,10,10.1,0.532133676092545
"2322",4,11,52.1,9.9,11.1,0.468421052631579
"2343",4,11,41.3,10,17.1,0.507894736842105
"2693",4,11,35,10,8,0.377952755905512
"2700",4,11,43.3,10,13,0.645669291338583
"173",4,12,39.8,10,8.5,0.644444444444444
"180",4,12,39.1,6,12.4,0.387301587301587
"523",4,12,43.4,8.3,7.4,0.516417910447761
"530",4,12,28.1,10,11.5,0.740298507462687
"537",4,12,39.1,10,13.8,0.617910447761194
"887",4,12,43.1,9.9,11.5,0.615853658536585
"894",4,12,40.8,9.5,19.3,0.807926829268293
"901",4,12,42.4,10,14.1,0.661585365853659
"1251",4,12,53.5,6.4,13,0.587765957446808
"1258",4,12,51.1,9,9.3,0.707446808510638
"1272",4,12,57.7,2.1,15.6,0.534574468085106
"1615",4,12,53.4,6.6,15.6,0.825136612021858
"1622",4,12,42.7,9.8,6.4,0.554644808743169
"1629",4,12,29.8,8.8,13.8,0.866120218579235
"1643",4,12,37.3,8.6,10.3,0.300546448087432
"1986",4,12,43.4,10,10.2,0.609254498714653
"2000",4,12,32.4,10,10.7,0.735218508997429
"2350",4,12,34.9,10,10.7,0.6
"2357",4,12,30.9,10,6.4,0.613157894736842
"2371",4,12,34.7,10,8.1,0.339473684210526
"2714",4,12,39.6,10,8.4,0.514435695538058
"2721",4,12,31.1,10,11.7,0.519685039370079
"2728",4,12,24.2,10,18.4,0.782152230971129
"188",5,1,32.2,10,11.3,0.313432835820896
"202",5,1,28.1,7.5,15,0.480597014925373
"580",5,1,33.7,9.9,9.1,0.475609756097561
"916",5,1,40.4,10,13.1,0.106382978723404
"930",5,1,34.5,10,14.9,0.428191489361702
"1287",5,1,41.3,9.9,11.8,0.46448087431694
"1301",5,1,28,10,13.1,0.737704918032787
"1658",5,1,46.8,7.2,12.6,0.380462724935733
"1672",5,1,42.1,9.9,20.3,0.326478149100257
"2015",5,1,23,9.5,23.4,0.65
"2022",5,1,43.7,5.6,13.4,0.660526315789474
"2029",5,1,28.9,10,10.5,0.384210526315789
"2036",5,1,25.3,10,14.4,0.589473684210526
"2379",5,1,39,9.8,9.9,0.517060367454068
"2386",5,1,28.6,10,14.2,0.637795275590551
"2400",5,1,37,8.9,14,0.695538057742782
"216",5,2,33.1,10,18.2,0.519402985074627
"237",5,2,35.4,9.8,14.2,0.391044776119403
"587",5,2,28.1,10,9,0.826219512195122
"601",5,2,42.2,3.9,10.4,0.429878048780488
"608",5,2,20.3,9.6,12.5,0.765243902439024
"1315",5,2,40.8,3.5,17.9,0.478142076502732
"1329",5,2,34.7,10,10.7,0.273224043715847
"1336",5,2,40.2,9.5,20.8,0.120218579234973
"1679",5,2,30.9,10,9,0.393316195372751
"1686",5,2,21,7.9,21.5,0.647814910025707
"1693",5,2,31.8,10,14,0.575835475578406
"2043",5,2,34.2,6.4,11.9,0.431578947368421
"2050",5,2,28.3,10,6.2,0.342105263157895
"2057",5,2,44.8,2.9,8.8,0.339473684210526
"2414",5,2,40.6,3,9.8,0.68241469816273
"2421",5,2,39.8,8.2,14.2,0.564304461942257
"244",5,3,39.3,9.4,10.6,0.605970149253731
"258",5,3,31.2,10,18.5,0.617910447761194
"265",5,3,34.3,6.8,13.6,0.608955223880597
"272",5,3,45.2,10,8.9,0.358208955223881
"615",5,3,29.4,10,8.4,0.393292682926829
"622",5,3,25.4,10,15.1,0.551829268292683
"629",5,3,39.3,9.6,14,0.564024390243902
"636",5,3,41.2,8.9,13.7,0.384146341463415
"986",5,3,31.1,10,12.3,0.550531914893617
"993",5,3,30.3,9,6.3,0.446808510638298
"1000",5,3,42.4,5.1,13.1,0.345744680851064
"1343",5,3,33.9,6.9,8.5,0.691256830601093
"1350",5,3,46.8,7.6,10.1,0.655737704918033
"1357",5,3,47,9.9,12.3,0.579234972677596
"1364",5,3,50.8,2.7,10.8,0.311475409836066
"1707",5,3,33.2,10,11.8,0.74293059125964
"1714",5,3,35.5,5.8,12.1,0.401028277634961
"1721",5,3,33,10,10.9,0.77120822622108
"1728",5,3,35.3,9.9,9.6,0.508997429305913
"1735",5,3,37.6,9.2,6.2,0.763496143958869
"2078",5,3,35.5,9.6,12,0.784210526315789
"2085",5,3,36.1,10,13.5,0.789473684210526
"2442",5,3,27.2,10,10.9,0.658792650918635
"2449",5,3,45.3,7.3,15.3,0.713910761154856
"2456",5,3,42.3,6.9,15,0.832020997375328
"279",5,4,42.9,8.7,8,0.543283582089552
"286",5,4,43.6,7.7,13.8,0.743283582089552
"293",5,4,52.6,4.6,12.5,0.507462686567164
"643",5,4,40,10,7.7,0.664634146341463
"650",5,4,48,8.8,13.4,0.625
"657",5,4,40.4,9.9,9.1,0.280487804878049
"664",5,4,49,10,10.5,0.649390243902439
"1007",5,4,45,5.9,14.6,0.236702127659574
"1014",5,4,43.9,3.6,9.4,0.223404255319149
"1021",5,4,47.5,6.9,12.5,0.736702127659574
"1028",5,4,44,10,14.6,0.728723404255319
"1371",5,4,54.8,2.2,18.2,0.737704918032787
"1378",5,4,49.7,7.3,15.9,0.721311475409836
"1385",5,4,46.4,10,17.6,0.822404371584699
"1399",5,4,46.1,10,9.4,0.23224043715847
"1742",5,4,47.8,6.9,14.9,0.611825192802057
"1756",5,4,45.7,4.6,13.9,0.601542416452442
"2106",5,4,38,9.4,12.2,0.163157894736842
"2113",5,4,47.7,6.7,15.4,0.794736842105263
"2120",5,4,43.2,10,11.6,0.668421052631579
"2470",5,4,39.4,10,10.7,0.78740157480315
"2484",5,4,53.7,4.8,16.7,0.393700787401575
"2491",5,4,46.8,7,13.9,0.259842519685039
"307",5,5,46.9,9.9,13.7,0.853731343283582
"328",5,5,61,2.1,14,0.8
"685",5,5,58.3,9.1,11.8,0.902439024390244
"692",5,5,54.9,10,7.3,0.780487804878049
"1035",5,5,43.8,9.6,13.3,0.638297872340426
"1406",5,5,48.5,9.4,16.5,0.808743169398907
"1770",5,5,49.4,7.6,14.9,0.822622107969152
"1777",5,5,48.6,9.7,11.8,0.928020565552699
"1791",5,5,55.4,6.2,12.9,0.822622107969152
"2134",5,5,53.3,7.8,12.2,0.710526315789474
"2141",5,5,56.8,8.1,11.3,0.926315789473684
"2148",5,5,52.2,5.7,10.9,0.428947368421053
"2155",5,5,56.5,8,13.6,0.910526315789474
"2505",5,5,48.4,9.4,13.8,0.679790026246719
"2519",5,5,59.3,8.3,18.7,0.858267716535433
"2526",5,5,58.2,4.7,8.4,0.955380577427822
"349",5,6,55,7,18.3,0.874626865671642
"363",5,6,66.1,2.1,12.9,0.62089552238806
"713",5,6,61.7,4,14.4,0.926829268292683
"727",5,6,63.9,9.8,13.6,0.780487804878049
"1084",5,6,65.6,10,7.4,0.877659574468085
"1812",5,6,59.8,9.9,15.5,0.516709511568123
"1819",5,6,64.9,6.3,9.7,0.866323907455013
"1826",5,6,66.9,8.8,13.3,0.748071979434447
"2540",5,6,61.7,8.2,13,0.913385826771654
"2547",5,6,63.2,3.8,10,0.971128608923885
"20",5,7,67.2,7.4,6.5,0.638095238095238
"370",5,7,71.6,6.8,12.4,0.525373134328358
"377",5,7,69.4,3.1,6.7,0.594029850746269
"384",5,7,73.9,2.8,9.6,0.886567164179105
"391",5,7,66.1,6,15,0.647761194029851
"1105",5,7,65.2,8.7,7.9,0.816489361702128
"1126",5,7,76.7,8.5,8.5,0.933510638297872
"1469",5,7,65.7,3.2,10,0.491803278688525
"1483",5,7,72.4,9,13.5,0.920765027322404
"1833",5,7,66,5.2,8.7,0.560411311053985
"1840",5,7,63.7,9,8.9,0.645244215938303
"2197",5,7,70.6,4.8,11.5,0.528947368421053
"2568",5,7,70.8,7.9,10.9,0.908136482939633
"34",5,8,77.9,6,4.4,0.59047619047619
"41",5,8,75.3,7.6,5.4,0.679365079365079
"398",5,8,69.7,9.5,8.3,0.674626865671642
"405",5,8,70.7,9.3,13.1,0.534328358208955
"419",5,8,70.6,7.8,12.1,0.704477611940298
"426",5,8,65,9.9,10.8,0.594029850746269
"776",5,8,66.8,10,8.8,0.359756097560976
"783",5,8,63.9,7.9,7.9,0.5
"790",5,8,67.2,10,10.8,0.692073170731707
"2253",5,8,69.9,10,13,0.447368421052632
"83",5,9,64.7,10,4.7,0.796825396825397
"90",5,9,65.2,5.9,5.1,0.952380952380952
"440",5,9,69.1,6.1,8.9,0.752238805970149
"454",5,9,58.1,10,11.5,0.456716417910448
"811",5,9,57.2,10,12.5,0.74390243902439
"818",5,9,63.1,7.9,15.8,0.728658536585366
"1161",5,9,70.6,6.8,12,0.640957446808511
"1182",5,9,61.2,10,10.3,0.486702127659574
"1525",5,9,69.2,9.4,9.9,0.724043715846995
"1539",5,9,57.7,10,6.4,0.950819672131147
"1889",5,9,62.7,10,10.6,0.57840616966581
"1896",5,9,65.4,9.5,11.3,0.730077120822622
"1910",5,9,61.3,2.8,27.5,0.406169665809769
"1917",5,9,59.6,10,10.6,0.773778920308483
"2260",5,9,71.1,10,8.7,0.573684210526316
"2281",5,9,60.5,6.3,8.5,0.681578947368421
"2631",5,9,59.6,10,11.8,0.750656167979003
"2645",5,9,63.5,8.8,7.7,0.792650918635171
"104",5,10,51.2,10,5.3,0.606349206349206
"468",5,10,60.6,10,13.3,0.659701492537313
"475",5,10,62.3,8.8,11,0.835820895522388
"482",5,10,48,10,9.2,0.737313432835821
"825",5,10,58.5,9.2,13.1,0.960365853658537
"832",5,10,59,10,8.9,0.417682926829268
"839",5,10,63.2,7.9,9.7,0.74390243902439
"846",5,10,54.3,7.6,15.7,0.807926829268293
"853",5,10,51.3,10,7.9,0.804878048780488
"1196",5,10,58.9,9.8,10.9,0.962765957446808
"1203",5,10,60.1,9.8,11.7,0.728723404255319
"1210",5,10,56.2,10,15.4,0.904255319148936
"1217",5,10,57.4,10,11.1,0.76063829787234
"1567",5,10,55.9,10,14.2,0.915300546448087
"1581",5,10,51.8,7.7,18.6,1
"1931",5,10,56.4,10,10.9,0.519280205655527
"1938",5,10,62,10,11.3,0.943444730077121
"1945",5,10,54.1,10,12.1,0.778920308483291
"2288",5,10,62.2,9.8,14.7,0.902631578947368
"2295",5,10,63.1,5.2,14.8,0.992105263157895
"2302",5,10,49.2,10,13.7,0.878947368421053
"2309",5,10,39.8,10,8.7,0.773684210526316
"2652",5,10,57.4,9.4,14.6,0.805774278215223
"2659",5,10,55.5,3.6,26.1,0.538057742782152
"2666",5,10,55,10,14.9,0.611548556430446
"132",5,11,43.3,9.8,9.6,0.904761904761905
"153",5,11,41.3,9.3,4.7,0.549206349206349
"489",5,11,62.3,6.3,18.2,0.925373134328358
"496",5,11,47.1,10,13.7,0.841791044776119
"503",5,11,53,10,12.3,0.647761194029851
"510",5,11,46.2,9.4,5.6,0.901492537313433
"517",5,11,31.2,10,8.7,0.11044776119403
"860",5,11,52.5,7.9,11.7,0.722560975609756
"867",5,11,43.7,9.7,11.1,0.76219512195122
"874",5,11,36.8,10,15.8,0.832317073170732
"881",5,11,37,9.3,12.6,0.121951219512195
"1224",5,11,62.3,4.3,11.3,0.569148936170213
"1231",5,11,58.3,9.8,16.9,0.731382978723404
"1588",5,11,53.6,10,12.1,0.942622950819672
"1595",5,11,54.9,10,16,0.636612021857924
"1602",5,11,50.9,10,18,0.939890710382514
"1959",5,11,44.6,10,12.3,0.688946015424165
"1966",5,11,43.8,9.9,15.6,0.920308483290488
"2316",5,11,60,5.2,13.9,0.771052631578947
"2330",5,11,42.8,5.5,19,0.702631578947368
"2344",5,11,38.4,10,7.5,0.763157894736842
"2687",5,11,42.7,10,15.7,0.721784776902887
"2694",5,11,49.3,9.8,11,0.57742782152231
"2701",5,11,48.1,8.8,10.6,0.608923884514436
"167",5,12,41.4,10,4.1,0.777777777777778
"181",5,12,33,9.4,10,0.488888888888889
"531",5,12,28.1,9.9,12.7,0.880597014925373
"545",5,12,33.1,10,10,0.226865671641791
"888",5,12,39.3,9.8,9.3,0.820121951219512
"895",5,12,37,10,8.2,0.86280487804878
"909",5,12,44.8,10,10.4,0.128048780487805
"1252",5,12,45.6,10,10.9,0.73936170212766
"1266",5,12,54.2,2.4,11.3,0.970744680851064
"1616",5,12,46.4,10,12.9,0.704918032786885
"1623",5,12,36.6,10,15.4,0.734972677595628
"1637",5,12,39,10,12.7,0.710382513661202
"1644",5,12,40.4,9.5,18.2,0.412568306010929
"1980",5,12,48.2,10,10,0.812339331619537
"1987",5,12,41,10,9,0.580976863753213
"2351",5,12,38,9.8,11,0.663157894736842
"2365",5,12,50.4,5.3,17.6,0.865789473684211
"2372",5,12,41.8,7.5,15,0.6
"2715",5,12,38.3,10,14.2,0.425196850393701
"2722",5,12,38.7,9.8,10.3,0.942257217847769
"2729",5,12,24.2,10,13.5,0.779527559055118
"196",6,1,42.7,7.1,7.9,0.223880597014925
"203",6,1,35.9,9.2,15.3,0.250746268656716
"210",6,1,24.4,8.6,10.5,0.471641791044776
"560",6,1,44.8,4.4,13.4,0.185975609756098
"567",6,1,38.8,8.7,7.9,0.134146341463415
"574",6,1,32,8.5,17,0.216463414634146
"917",6,1,34.5,9.5,11.1,0.143617021276596
"924",6,1,26.9,10,10.2,0.210106382978723
"931",6,1,20.2,10,13.3,0.247340425531915
"938",6,1,38.5,6.7,12.4,0.0691489361702128
"945",6,1,24.5,7.8,20.3,0.329787234042553
"1288",6,1,45.9,10,9.3,0.333333333333333
"1295",6,1,45.7,7.3,15.7,0.35792349726776
"1309",6,1,37.8,10,11.6,0.448087431693989
"1659",6,1,29.8,10,10.2,0.10025706940874
"1666",6,1,42.3,6.7,7.5,0.0488431876606684
"1673",6,1,38.7,10,18.3,0.115681233933162
"2023",6,1,45.4,3,19.2,0.394736842105263
"2030",6,1,38.1,10,14.3,0.202631578947368
"2037",6,1,36.8,10,12.2,0.15
"2380",6,1,43.8,5,11.8,0.141732283464567
"2387",6,1,23.1,10,12.9,0.312335958005249
"2394",6,1,34.5,9.8,6.9,0.204724409448819
"2401",6,1,30.5,10,7.9,0.346456692913386
"217",6,2,27.6,10,12.5,0.4
"231",6,2,39.2,9.2,8.6,0.146268656716418
"588",6,2,28.2,10,8.6,0.0609756097560976
"595",6,2,35.2,7.3,11.8,0.341463414634146
"602",6,2,41.4,7.1,11,0.557926829268293
"973",6,2,22.2,10,7.2,0.361702127659574
"1316",6,2,32.3,9.9,12.1,0.330601092896175
"1323",6,2,23.5,7.4,12.2,0.131147540983607
"1330",6,2,42.8,8.8,12.5,0.336065573770492
"1680",6,2,28.4,10,14.1,0.218508997429306
"1687",6,2,32,8.4,10,0.141388174807198
"2058",6,2,35.9,10,13.1,0.397368421052632
"2065",6,2,42.3,5,11.4,0.228947368421053
"2408",6,2,23.5,10,11.8,0.461942257217848
